Sync Header 0,Sync Header 1,Sync Header 2,Sync Header 3,Software Version,Total Packet Length,Hardware Version,Frame Number,CPU Time,Human Detected,Output Structure Count,Reserved,Max RCS,Heart Rate Est,Breathing Rate Est,Sum Energy Breath Wfm,Sum Energy Heart Wfm,Total Packets Received
0102,0304,0506,0708,50659332,96,661058,13401,1860527446,1,1,0,3717.90,55.17,13.79,19283884.00,111.38,22.00
0102,0304,0506,0708,50659332,96,661058,13402,1980529218,1,1,0,3609.77,55.83,13.79,37607972.00,101.77,23.00
0102,0304,0506,0708,50659332,96,661058,13403,2100530406,1,1,0,3507.73,56.50,13.79,51652084.00,89.35,24.00
0102,0304,0506,0708,50659332,96,661058,13404,2220527724,1,1,0,4348.76,57.17,13.79,81472040.00,76.21,25.00
0102,0304,0506,0708,50659332,96,661058,13405,2340529974,1,1,0,4331.07,57.83,13.79,138528864.00,63.63,26.00
0102,0304,0506,0708,50659332,96,661058,13406,2460532062,1,1,0,3416.66,58.50,13.79,229000480.00,54.84,27.00
0102,0304,0506,0708,50659332,96,661058,13407,2580535032,0,1,0,1986.72,59.17,13.64,295568416.00,46.85,28.00
0102,0304,0506,0708,50659332,96,661058,13408,2700536310,1,1,0,2037.67,59.83,13.48,278631680.00,41.83,29.00
0102,0304,0506,0708,50659332,96,661058,13409,2820539184,1,1,0,2049.77,60.50,13.48,184161280.00,42.48,30.00
0102,0304,0506,0708,50659332,96,661058,13410,2940542292,1,1,0,3407.19,61.17,13.48,89000528.00,49.16,31.00
0102,0304,0506,0708,50659332,96,661058,13411,3060543162,1,1,0,4118.67,61.83,13.48,28422870.00,41.56,32.00
0102,0304,0506,0708,50659332,96,661058,13412,3180544182,1,1,0,5231.12,62.50,13.33,28870314.00,36.45,33.00
0102,0304,0506,0708,50659332,96,661058,13413,3300544560,1,1,0,4057.63,63.17,13.19,104366008.00,42.19,34.00
0102,0304,0506,0708,50659332,96,661058,13414,3420544608,1,1,0,3226.59,63.83,13.19,199620320.00,40.60,35.00
0102,0304,0506,0708,50659332,96,661058,13415,3540546082,1,1,0,3026.73,64.50,13.19,250646960.00,34.53,36.00
0102,0304,0506,0708,50659332,96,661058,13416,3660544966,1,1,0,3273.18,65.17,13.04,214310240.00,35.18,37.00
0102,0304,0506,0708,50659332,96,661058,13417,3780544854,1,1,0,3375.85,65.83,13.04,151491648.00,42.86,38.00
0102,0304,0506,0708,50659332,96,661058,13418,3900543408,1,1,0,3355.00,66.50,13.04,83838024.00,39.39,39.00
0102,0304,0506,0708,50659332,96,661058,13419,4020542952,1,1,0,4096.94,67.17,13.04,34444928.00,34.78,40.00
0102,0304,0506,0708,50659332,96,661058,13420,4140540652,1,1,0,5071.67,67.83,13.04,11067763.00,32.13,41.00
0102,0304,0506,0708,50659332,96,661058,13421,4260539872,1,1,0,5130.39,68.50,13.04,4654025.00,31.50,42.00
0102,0304,0506,0708,50659332,96,661058,13422,85571102,1,1,0,4655.04,69.17,13.04,7492858.50,30.54,43.00
0102,0304,0506,0708,50659332,96,661058,13423,205568612,1,1,0,3580.24,69.83,13.04,28476376.00,27.81,44.00
0102,0304,0506,0708,50659332,96,661058,13424,325567530,1,1,0,2734.24,70.50,13.19,86247992.00,23.01,45.00
0102,0304,0506,0708,50659332,96,661058,13425,445564448,1,1,0,2295.08,71.17,13.19,165653856.00,22.86,46.00
0102,0304,0506,0708,50659332,96,661058,13426,565567418,1,1,0,2133.44,71.83,13.19,258962512.00,26.96,47.00
0102,0304,0506,0708,50659332,96,661058,13427,685565396,0,1,0,1910.53,72.50,13.19,300025280.00,24.32,48.00
0102,0304,0506,0708,50659332,96,661058,13428,805565906,1,1,0,2298.58,73.17,13.19,253862240.00,24.52,49.00
0102,0304,0506,0708,50659332,96,661058,13429,925561698,1,1,0,2344.46,73.83,13.19,104736912.00,75.24,50.00
0102,0304,0506,0708,50659332,96,661058,13430,1045558670,1,1,0,2960.60,74.50,13.19,55146136.00,100.25,51.00
0102,0304,0506,0708,50659332,96,661058,13431,1165554906,1,1,0,2663.32,75.00,13.48,159037792.00,95.50,52.00
0102,0304,0506,0708,50659332,96,661058,13432,1285551248,1,1,0,2839.33,75.00,13.79,295060608.00,80.50,53.00
0102,0304,0506,0708,50659332,96,661058,13433,1405551900,1,1,0,3007.06,75.00,14.12,361668896.00,71.89,54.00
0102,0304,0506,0708,50659332,96,661058,13434,1525559402,1,1,0,3016.65,75.00,14.46,285386720.00,67.36,55.00
0102,0304,0506,0708,50659332,96,661058,13435,1645560674,1,1,0,3028.87,75.00,14.63,160491360.00,58.24,56.00
