Sync Header 0,Sync Header 1,Sync Header 2,Sync Header 3,Software Version,Total Packet Length,Hardware Version,Frame Number,CPU Time,Human Detected,Output Structure Count,Reserved,Max RCS,Heart Rate Est,Breathing Rate Est,Sum Energy Breath Wfm,Sum Energy Heart Wfm,Total Packets Received
0102,0304,0506,0708,50659332,96,661058,187995,2290034776,1,1,0,4287.08,64.45,23.08,3851109632.00,3418.40,36.00
0102,0304,0506,0708,50659332,96,661058,187996,2410029922,1,1,0,2408.30,64.45,23.08,3332096256.00,3429.60,37.00
0102,0304,0506,0708,50659332,96,661058,187997,2530029814,1,1,0,2844.80,64.45,23.08,1200707584.00,3483.35,38.00
0102,0304,0506,0708,50659332,96,661058,187998,2650026580,1,1,0,2776.13,64.45,23.08,3879404800.00,3092.05,39.00
0102,0304,0506,0708,50659332,96,661058,187999,2770029808,1,1,0,4954.66,64.45,23.53,6930595328.00,3272.24,40.00
0102,0304,0506,0708,50659332,96,661058,188000,2890033090,1,1,0,5824.17,64.45,23.53,3458684416.00,3541.12,41.00
0102,0304,0506,0708,50659332,96,661058,188001,3010026742,1,1,0,5116.00,64.45,23.53,1164688256.00,3882.25,42.00
0102,0304,0506,0708,50659332,96,661058,188002,3130026796,1,1,0,3325.60,64.45,23.53,471969440.00,5539.22,43.00
0102,0304,0506,0708,50659332,96,661058,188003,3250026616,1,1,0,3098.22,64.45,23.53,1366769920.00,5043.84,44.00
0102,0304,0506,0708,50659332,96,661058,188004,3370030858,1,1,0,4782.60,64.45,24.00,9243165696.00,5119.55,45.00
0102,0304,0506,0708,50659332,96,661058,188005,3490031026,1,1,0,3978.26,64.45,24.49,29736904704.00,4871.93,46.00
0102,0304,0506,0708,50659332,96,661058,188006,3610032304,1,1,0,5912.15,64.45,24.49,44744658944.00,5129.81,47.00
0102,0304,0506,0708,50659332,96,661058,188007,3730032100,1,1,0,4817.16,64.45,24.49,64611909632.00,7683.70,48.00
0102,0304,0506,0708,50659332,96,661058,188008,3850033176,1,1,0,4273.49,64.45,24.49,75611824128.00,13723.16,49.00
0102,0304,0506,0708,50659332,96,661058,188009,3970033468,1,1,0,5157.38,64.45,24.49,35105529856.00,15637.08,50.00
0102,0304,0506,0708,50659332,96,661058,188010,4090033918,1,1,0,4848.04,64.45,24.00,12401626112.00,17814.10,51.00
0102,0304,0506,0708,50659332,96,661058,188011,4210034062,1,1,0,4153.24,64.45,24.00,4572283392.00,23025.14,52.00
0102,0304,0506,0708,50659332,96,661058,188012,35067114,1,1,0,5690.04,64.45,24.49,1950765056.00,21040.45,53.00
0102,0304,0506,0708,50659332,96,661058,188013,155067324,1,1,0,3573.83,64.45,24.49,1215029760.00,19327.05,54.00
0102,0304,0506,0708,50659332,96,661058,188014,275066952,1,1,0,3381.94,64.45,24.49,3932825600.00,23865.12,55.00
0102,0304,0506,0708,50659332,96,661058,188015,395067522,1,1,0,6309.57,64.45,24.00,16430557184.00,22303.17,56.00
0102,0304,0506,0708,50659332,96,661058,188016,515066970,1,1,0,3416.82,64.45,12.63,32444807168.00,18825.53,57.00
0102,0304,0506,0708,50659332,96,661058,188017,635066658,1,1,0,4575.39,64.45,12.50,23274987520.00,15663.67,58.00
0102,0304,0506,0708,50659332,96,661058,188018,755066370,1,1,0,2311.09,64.45,12.50,11221719040.00,16215.08,59.00
0102,0304,0506,0708,50659332,96,661058,188019,875065452,1,1,0,3461.18,64.45,23.53,44697284608.00,15080.96,60.00
0102,0304,0506,0708,50659332,96,661058,188020,995066526,1,1,0,3212.15,64.45,23.53,51651661824.00,21406.12,61.00
0102,0304,0506,0708,50659332,96,661058,188021,1115066604,1,1,0,3331.45,64.45,23.53,24373301248.00,21992.42,62.00
0102,0304,0506,0708,50659332,96,661058,188022,1235067150,1,1,0,3377.14,64.45,23.53,28060006400.00,18243.54,63.00
0102,0304,0506,0708,50659332,96,661058,188023,1355067210,1,1,0,4623.36,64.45,23.53,88469929984.00,15652.81,64.00
0102,0304,0506,0708,50659332,96,661058,188024,1475067582,1,1,0,2487.21,64.45,12.37,85043724288.00,24440.13,65.00
0102,0304,0506,0708,50659332,96,661058,188025,1595071554,1,1,0,2629.19,64.45,12.24,53119774720.00,22360.99,66.00
0102,0304,0506,0708,50659332,96,661058,188026,1715071344,1,1,0,2478.09,64.45,12.24,26166212608.00,21070.94,67.00
0102,0304,0506,0708,50659332,96,661058,188027,1835070966,1,1,0,3456.14,64.45,12.24,8866063360.00,18499.53,68.00
0102,0304,0506,0708,50659332,96,661058,188028,1955070030,1,1,0,2769.62,64.45,12.37,4183287296.00,15864.52,69.00
0102,0304,0506,0708,50659332,96,661058,188029,2075068884,1,1,0,3135.21,64.45,12.37,5244168192.00,14409.39,70.00
0102,0304,0506,0708,50659332,96,661058,188030,2195068044,1,1,0,2139.17,64.45,12.37,19094800384.00,16119.14,71.00
0102,0304,0506,0708,50659332,96,661058,188031,2315068032,1,1,0,2319.91,64.45,12.37,22277271552.00,13729.66,72.00
0102,0304,0506,0708,50659332,96,661058,188032,2435068056,1,1,0,2874.37,64.45,12.37,10895855616.00,11933.71,73.00
0102,0304,0506,0708,50659332,96,661058,188033,2555064858,0,1,0,1744.34,0.00,12.50,4492538368.00,9798.57,74.00
0102,0304,0506,0708,50659332,96,661058,188034,2675064516,0,1,0,1635.70,0.00,12.50,10369922048.00,8099.40,75.00
0102,0304,0506,0708,50659332,96,661058,188035,2795063340,1,1,0,2431.48,64.45,12.50,21374513152.00,6699.71,76.00
